	name	rating	reviews	company_type	Head_Quarters	Company_Age	No_of_Employee
643	Ericsson	4.3	(5.3k Reviews)	Private	Stockholm,Stockholm County + 130 more	146 years old	10k-50k Employees (India)
644	Bajaj Finserv	4.1	(4.9k Reviews)	Public	Pune,Maharashtra + 638 more	15 years old	10k-50k Employees (India)
645	Conneqt Business...	3.8	(4.8k Reviews)	Private	Mumbai,Maharashtra + 151 more	20 years old	10k-50k Employees (India)
646	IDFC FIRST Bank	4.0	(4.8k Reviews)	Public	Mumbai,Maharashtra + 362 more	4 years old	10k-50k Employees (India)
647	Dr. Reddy's	4.2	(4.8k Reviews)	Public	Hyderabad/Secunderabad,Telangana + 128 more	36 years old	10k-50k Employees (India)
648	Startek	3.5	(4.6k Reviews)	Public	Mumbai,Maharashtra + 50 more	5 years old	5k-10k Employees (India)
649	Mphasis	3.8	(4.6k Reviews)	Public	Bangalore/Bengaluru,Karnataka + 41 more	24 years old	10k-50k Employees (India)
650	Sutherland Globa...	3.9	(4.9k Reviews)	Private	Pittsford,New York + 41 more	36 years old	10k-50k Employees (India)
651	Jana Small Finan...	3.9	(4.5k Reviews)	Public	Bangalore/Bengaluru,Karnataka + 303 more	16 years old	10k-50k Employees (India)
652	Cipla Pharmaceut...	4.1	(4.6k Reviews)	Public	Mumbai,Maharashtra + 185 more	87 years old	10k-50k Employees (India)
653	Yes Bank	4.0	(4.4k Reviews)	Public	Mumbai,Maharashtra + 353 more	18 years old	10k-50k Employees (India)
654	ICICI Prudential...	4.1	(4.3k Reviews)	Public	Mumbai,Maharashtra + 398 more	22 years old	10k-50k Employees (India)
655	DXC Technology	3.9	(6.8k Reviews)	Public	Minato,Tokyo + 55 more	5 years old	10k-50k Employees (India)
656	Hinduja Global S...	4.0	(5.9k Reviews)	Public	Bangalore/Bengaluru,Karnataka + 74 more	22 years old	10k-50k Employees (India)
657	Ernst & Young	3.9	(7k Reviews)	Private	London + 70 more	20 years old	50k-1 Lakh Employees (India)
658	Maruti Suzuki	4.1	(5.6k Reviews)	Public	New Delhi,Delhi + 373 more	39 years old	10k-50k Employees (India)
659	Infosys BPM	4.0	(5.5k Reviews)	Bangalore/Bengaluru,Karnataka + 45 more	20 years old	10k-50k Employees (India)	
660	BYJU'S	3.6	(9.8k Reviews)	Private	Bangalore,Karnataka + 161 more	11 years old	1k-5k Employees (India)
661	HSBC	4.1	(5.6k Reviews)	Private	Pune,Maharashtra + 53 more	20 years old	10k-50k Employees (India)
662	Ericsson	4.3	(5.3k Reviews)	Private	Stockholm,Stockholm County + 130 more	146 years old	10k-50k Employees (India)
663	Bajaj Finserv	4.1	(4.9k Reviews)	Public	Pune,Maharashtra + 638 more	15 years old	10k-50k Employees (India)
664	Conneqt Business...	3.8	(4.8k Reviews)	Private	Mumbai,Maharashtra + 151 more	20 years old	10k-50k Employees (India)
665	IDFC FIRST Bank	4.0	(4.8k Reviews)	Public	Mumbai,Maharashtra + 362 more	4 years old	10k-50k Employees (India)
666	Dr. Reddy's	4.2	(4.8k Reviews)	Public	Hyderabad/Secunderabad,Telangana + 128 more	36 years old	10k-50k Employees (India)
667	Startek	3.5	(4.6k Reviews)	Public	Mumbai,Maharashtra + 50 more	5 years old	5k-10k Employees (India)
668	Mphasis	3.8	(4.6k Reviews)	Public	Bangalore/Bengaluru,Karnataka + 41 more	24 years old	10k-50k Employees (India)
669	Sutherland Globa...	3.9	(4.9k Reviews)	Private	Pittsford,New York + 41 more	36 years old	10k-50k Employees (India)
670	Jana Small Finan...	3.9	(4.5k Reviews)	Public	Bangalore/Bengaluru,Karnataka + 303 more	16 years old	10k-50k Employees (India)
671	Cipla Pharmaceut...	4.1	(4.6k Reviews)	Public	Mumbai,Maharashtra + 185 more	87 years old	10k-50k Employees (India)
672	Yes Bank	4.0	(4.4k Reviews)	Public	Mumbai,Maharashtra + 353 more	18 years old	10k-50k Employees (India)
673	ICICI Prudential...	4.1	(4.3k Reviews)	Public	Mumbai,Maharashtra + 398 more	22 years old	10k-50k Employees (India)
674	Asian Paints	4.3	(4.5k Reviews)	Public	Mumbai,Maharashtra + 331 more	80 years old	10k-50k Employees (India)
675	DXC Technology	3.9	(6.8k Reviews)	Public	Minato,Tokyo + 55 more	5 years old	10k-50k Employees (India)
676	Hinduja Global S...	4.0	(5.9k Reviews)	Public	Bangalore/Bengaluru,Karnataka + 74 more	22 years old	10k-50k Employees (India)
677	Ernst & Young	3.9	(7k Reviews)	Private	London + 70 more	20 years old	50k-1 Lakh Employees (India)
678	Maruti Suzuki	4.1	(5.6k Reviews)	Public	New Delhi,Delhi + 373 more	39 years old	10k-50k Employees (India)
679	Infosys BPM	4.0	(5.5k Reviews)	Bangalore/Bengaluru,Karnataka + 45 more	20 years old	10k-50k Employees (India)	
680	BYJU'S	3.6	(9.8k Reviews)	Private	Bangalore,Karnataka + 161 more	11 years old	1k-5k Employees (India)
681	HSBC	4.1	(5.6k Reviews)	Private	Pune,Maharashtra + 53 more	20 years old	10k-50k Employees (India)
682	Ericsson	4.3	(5.3k Reviews)	Private	Stockholm,Stockholm County + 130 more	146 years old	10k-50k Employees (India)
683	Bajaj Finserv	4.1	(4.9k Reviews)	Public	Pune,Maharashtra + 638 more	15 years old	10k-50k Employees (India)
684	Conneqt Business...	3.8	(4.8k Reviews)	Private	Mumbai,Maharashtra + 151 more	20 years old	10k-50k Employees (India)
685	IDFC FIRST Bank	4.0	(4.8k Reviews)	Public	Mumbai,Maharashtra + 362 more	4 years old	10k-50k Employees (India)
686	Dr. Reddy's	4.2	(4.8k Reviews)	Public	Hyderabad/Secunderabad,Telangana + 128 more	36 years old	10k-50k Employees (India)
687	Startek	3.5	(4.6k Reviews)	Public	Mumbai,Maharashtra + 50 more	5 years old	5k-10k Employees (India)
688	Mphasis	3.8	(4.6k Reviews)	Public	Bangalore/Bengaluru,Karnataka + 41 more	24 years old	10k-50k Employees (India)
689	Sutherland Globa...	3.9	(4.9k Reviews)	Private	Pittsford,New York + 41 more	36 years old	10k-50k Employees (India)
690	Jana Small Finan...	3.9	(4.5k Reviews)	Public	Bangalore/Bengaluru,Karnataka + 303 more	16 years old	10k-50k Employees (India)
691	Cipla Pharmaceut...	4.1	(4.6k Reviews)	Public	Mumbai,Maharashtra + 185 more	87 years old	10k-50k Employees (India)
692	Yes Bank	4.0	(4.4k Reviews)	Public	Mumbai,Maharashtra + 353 more	18 years old	10k-50k Employees (India)
693	ICICI Prudential...	4.1	(4.3k Reviews)	Public	Mumbai,Maharashtra + 398 more	22 years old	10k-50k Employees (India)
694	Asian Paints	4.3	(4.5k Reviews)	Public	Mumbai,Maharashtra + 331 more	80 years old	10k-50k Employees (India)
695	HCL Group	3.9	(22.6k Reviews)	Chennai + 69 more	50k-1 Lakh Employees (India)		
696	DXC Technology	3.9	(6.8k Reviews)	Public	Minato,Tokyo + 55 more	5 years old	10k-50k Employees (India)
697	Hinduja Global S...	4.0	(5.9k Reviews)	Public	Bangalore/Bengaluru,Karnataka + 74 more	22 years old	10k-50k Employees (India)
698	Ernst & Young	3.9	(7k Reviews)	Private	London + 70 more	20 years old	50k-1 Lakh Employees (India)
699	Maruti Suzuki	4.1	(5.6k Reviews)	Public	New Delhi,Delhi + 373 more	39 years old	10k-50k Employees (India)
700	Infosys BPM	4.0	(5.5k Reviews)	Bangalore/Bengaluru,Karnataka + 45 more	20 years old	10k-50k Employees (India)	
701	BYJU'S	3.6	(9.8k Reviews)	Private	Bangalore,Karnataka + 161 more	11 years old	1k-5k Employees (India)
702	HSBC	4.1	(5.6k Reviews)	Private	Pune,Maharashtra + 53 more	20 years old	10k-50k Employees (India)
703	Ericsson	4.3	(5.3k Reviews)	Private	Stockholm,Stockholm County + 130 more	146 years old	10k-50k Employees (India)
704	Bajaj Finserv	4.1	(4.9k Reviews)	Public	Pune,Maharashtra + 638 more	15 years old	10k-50k Employees (India)
705	Conneqt Business...	3.8	(4.8k Reviews)	Private	Mumbai,Maharashtra + 151 more	20 years old	10k-50k Employees (India)
706	IDFC FIRST Bank	4.0	(4.8k Reviews)	Public	Mumbai,Maharashtra + 362 more	4 years old	10k-50k Employees (India)
707	Dr. Reddy's	4.2	(4.8k Reviews)	Public	Hyderabad/Secunderabad,Telangana + 128 more	36 years old	10k-50k Employees (India)
708	Startek	3.5	(4.6k Reviews)	Public	Mumbai,Maharashtra + 50 more	5 years old	5k-10k Employees (India)
709	Mphasis	3.8	(4.6k Reviews)	Public	Bangalore/Bengaluru,Karnataka + 41 more	24 years old	10k-50k Employees (India)
710	Sutherland Globa...	3.9	(4.9k Reviews)	Private	Pittsford,New York + 41 more	36 years old	10k-50k Employees (India)
711	Jana Small Finan...	3.9	(4.5k Reviews)	Public	Bangalore/Bengaluru,Karnataka + 303 more	16 years old	10k-50k Employees (India)
712	Cipla Pharmaceut...	4.1	(4.6k Reviews)	Public	Mumbai,Maharashtra + 185 more	87 years old	10k-50k Employees (India)
713	Yes Bank	4.0	(4.4k Reviews)	Public	Mumbai,Maharashtra + 353 more	18 years old	10k-50k Employees (India)
714	ICICI Prudential...	4.1	(4.3k Reviews)	Public	Mumbai,Maharashtra + 398 more	22 years old	10k-50k Employees (India)
715	Asian Paints	4.3	(4.5k Reviews)	Public	Mumbai,Maharashtra + 331 more	80 years old	10k-50k Employees (India)
716	HCL Group	3.9	(22.6k Reviews)	Chennai + 69 more	50k-1 Lakh Employees (India)		
717	NTT DATA	4.0	(4.5k Reviews)	Private	Chiyoda City,Tokyo + 38 more	34 years old	10k-50k Employees (India)
718	DXC Technology	3.9	(6.8k Reviews)	Public	Minato,Tokyo + 55 more	5 years old	10k-50k Employees (India)
719	Hinduja Global S...	4.0	(5.9k Reviews)	Public	Bangalore/Bengaluru,Karnataka + 74 more	22 years old	10k-50k Employees (India)
720	Ernst & Young	3.9	(7k Reviews)	Private	London + 70 more	20 years old	50k-1 Lakh Employees (India)
721	Maruti Suzuki	4.1	(5.6k Reviews)	Public	New Delhi,Delhi + 373 more	39 years old	10k-50k Employees (India)
722	Infosys BPM	4.0	(5.5k Reviews)	Bangalore/Bengaluru,Karnataka + 45 more	20 years old	10k-50k Employees (India)	
723	BYJU'S	3.6	(9.8k Reviews)	Private	Bangalore,Karnataka + 161 more	11 years old	1k-5k Employees (India)
724	HSBC	4.1	(5.6k Reviews)	Private	Pune,Maharashtra + 53 more	20 years old	10k-50k Employees (India)
725	Ericsson	4.3	(5.3k Reviews)	Private	Stockholm,Stockholm County + 130 more	146 years old	10k-50k Employees (India)
726	Bajaj Finserv	4.1	(4.9k Reviews)	Public	Pune,Maharashtra + 638 more	15 years old	10k-50k Employees (India)
727	Conneqt Business...	3.8	(4.8k Reviews)	Private	Mumbai,Maharashtra + 151 more	20 years old	10k-50k Employees (India)
728	IDFC FIRST Bank	4.0	(4.8k Reviews)	Public	Mumbai,Maharashtra + 362 more	4 years old	10k-50k Employees (India)
729	Dr. Reddy's	4.2	(4.8k Reviews)	Public	Hyderabad/Secunderabad,Telangana + 128 more	36 years old	10k-50k Employees (India)
730	Startek	3.5	(4.6k Reviews)	Public	Mumbai,Maharashtra + 50 more	5 years old	5k-10k Employees (India)
731	Mphasis	3.8	(4.6k Reviews)	Public	Bangalore/Bengaluru,Karnataka + 41 more	24 years old	10k-50k Employees (India)
732	Sutherland Globa...	3.9	(4.9k Reviews)	Private	Pittsford,New York + 41 more	36 years old	10k-50k Employees (India)
733	Jana Small Finan...	3.9	(4.5k Reviews)	Public	Bangalore/Bengaluru,Karnataka + 303 more	16 years old	10k-50k Employees (India)
734	Cipla Pharmaceut...	4.1	(4.6k Reviews)	Public	Mumbai,Maharashtra + 185 more	87 years old	10k-50k Employees (India)
735	Yes Bank	4.0	(4.4k Reviews)	Public	Mumbai,Maharashtra + 353 more	18 years old	10k-50k Employees (India)
736	ICICI Prudential...	4.1	(4.3k Reviews)	Public	Mumbai,Maharashtra + 398 more	22 years old	10k-50k Employees (India)
737	Asian Paints	4.3	(4.5k Reviews)	Public	Mumbai,Maharashtra + 331 more	80 years old	10k-50k Employees (India)
738	HCL Group	3.9	(22.6k Reviews)	Chennai + 69 more	50k-1 Lakh Employees (India)		
739	NTT DATA	4.0	(4.5k Reviews)	Private	Chiyoda City,Tokyo + 38 more	34 years old	10k-50k Employees (India)
740	Zydus Cadila	4.1	(5.3k Reviews)	Public	Ahmedabad, India + 134 more	70 years old	5k-10k Employees (India)
741	DXC Technology	3.9	(6.8k Reviews)	Public	Minato,Tokyo + 55 more	5 years old	10k-50k Employees (India)
742	Hinduja Global S...	4.0	(5.9k Reviews)	Public	Bangalore/Bengaluru,Karnataka + 74 more	22 years old	10k-50k Employees (India)
743	Ernst & Young	3.9	(7k Reviews)	Private	London + 70 more	20 years old	50k-1 Lakh Employees (India)
744	Maruti Suzuki	4.1	(5.6k Reviews)	Public	New Delhi,Delhi + 373 more	39 years old	10k-50k Employees (India)
745	Infosys BPM	4.0	(5.5k Reviews)	Bangalore/Bengaluru,Karnataka + 45 more	20 years old	10k-50k Employees (India)	
746	BYJU'S	3.6	(9.8k Reviews)	Private	Bangalore,Karnataka + 161 more	11 years old	1k-5k Employees (India)
747	HSBC	4.1	(5.6k Reviews)	Private	Pune,Maharashtra + 53 more	20 years old	10k-50k Employees (India)
748	Ericsson	4.3	(5.3k Reviews)	Private	Stockholm,Stockholm County + 130 more	146 years old	10k-50k Employees (India)
749	Bajaj Finserv	4.1	(4.9k Reviews)	Public	Pune,Maharashtra + 638 more	15 years old	10k-50k Employees (India)
750	Conneqt Business...	3.8	(4.8k Reviews)	Private	Mumbai,Maharashtra + 151 more	20 years old	10k-50k Employees (India)
751	IDFC FIRST Bank	4.0	(4.8k Reviews)	Public	Mumbai,Maharashtra + 362 more	4 years old	10k-50k Employees (India)
752	Dr. Reddy's	4.2	(4.8k Reviews)	Public	Hyderabad/Secunderabad,Telangana + 128 more	36 years old	10k-50k Employees (India)
753	Startek	3.5	(4.6k Reviews)	Public	Mumbai,Maharashtra + 50 more	5 years old	5k-10k Employees (India)
754	Mphasis	3.8	(4.6k Reviews)	Public	Bangalore/Bengaluru,Karnataka + 41 more	24 years old	10k-50k Employees (India)
755	Sutherland Globa...	3.9	(4.9k Reviews)	Private	Pittsford,New York + 41 more	36 years old	10k-50k Employees (India)
756	Jana Small Finan...	3.9	(4.5k Reviews)	Public	Bangalore/Bengaluru,Karnataka + 303 more	16 years old	10k-50k Employees (India)
757	Cipla Pharmaceut...	4.1	(4.6k Reviews)	Public	Mumbai,Maharashtra + 185 more	87 years old	10k-50k Employees (India)
758	Yes Bank	4.0	(4.4k Reviews)	Public	Mumbai,Maharashtra + 353 more	18 years old	10k-50k Employees (India)
759	ICICI Prudential...	4.1	(4.3k Reviews)	Public	Mumbai,Maharashtra + 398 more	22 years old	10k-50k Employees (India)
760	Asian Paints	4.3	(4.5k Reviews)	Public	Mumbai,Maharashtra + 331 more	80 years old	10k-50k Employees (India)
761	HCL Group	3.9	(22.6k Reviews)	Chennai + 69 more	50k-1 Lakh Employees (India)		
762	NTT DATA	4.0	(4.5k Reviews)	Private	Chiyoda City,Tokyo + 38 more	34 years old	10k-50k Employees (India)
763	Zydus Cadila	4.1	(5.3k Reviews)	Public	Ahmedabad, India + 134 more	70 years old	5k-10k Employees (India)
764	Udaan	4.2	(4k Reviews)	Private	Bangalore,Karnataka + 295 more	6 years old	1k-5k Employees (India)
765	DXC Technology	3.9	(6.8k Reviews)	Public	Minato,Tokyo + 55 more	5 years old	10k-50k Employees (India)
766	Hinduja Global S...	4.0	(5.9k Reviews)	Public	Bangalore/Bengaluru,Karnataka + 74 more	22 years old	10k-50k Employees (India)
767	Ernst & Young	3.9	(7k Reviews)	Private	London + 70 more	20 years old	50k-1 Lakh Employees (India)
768	Maruti Suzuki	4.1	(5.6k Reviews)	Public	New Delhi,Delhi + 373 more	39 years old	10k-50k Employees (India)
