	name	rating	reviews	company_type	Head_Quarters	Company_Age	No_of_Employee
418	Amazon	4.2	(16k Reviews)	Public	Seattle,Washington + 341 more	28 years old	1 Lakh+ Employees (India)
419	IBM	4.2	(20.3k Reviews)	Public	Armonk,New York + 116 more	111 years old	1 Lakh+ Employees (India)
420	Concentrix Corpo...	4.1	(14.5k Reviews)	Public	Fremont,California + 66 more	39 years old	10k-50k Employees (India)
421	Larsen & Toubro ...	4.1	(23.4k Reviews)	Public	Mumbai,Maharashtra + 517 more	84 years old	10k-50k Employees (India)
422	Reliance jio	4.0	(13.9k Reviews)	Public	Navi Mumbai,Maharashtra + 936 more	15 years old	50k-1 Lakh Employees (India)
423	Vodafone Idea	4.3	(13.5k Reviews)	Public	Gandhinagar,Gujrat + 558 more	4 years old	10k-50k Employees (India)
424	HDB Financial Se...	4.0	(12.5k Reviews)	Private	Ahmedabad,Gujrat + 741 more	15 years old	1 Lakh+ Employees (India)
425	Teleperformance	3.6	(13.5k Reviews)	Private	Paris + 117 more	44 years old	50k-1 Lakh Employees (India)
426	Kotak Mahindra B...	3.9	(12.9k Reviews)	Public	Mumbai,Maharashtra + 464 more	19 years old	50k-1 Lakh Employees (India)
427	Bharti Airtel	4.1	(12.2k Reviews)	Public	Gurgaon/Gurugram,Haryana + 481 more	27 years old	10k-50k Employees (India)
428	Reliance Industr...	4.1	(39.8k Reviews)	Public	Navi Mumbai,Maharashtra + 449 more	49 years old	1 Lakh+ Employees (India)
429	Deloitte	4.1	(9.6k Reviews)	Private	New York,New York + 132 more	177 years old	50k-1 Lakh Employees (India)
430	Tata Motors	4.0	(11.7k Reviews)	Public	Pune,Maharashtra + 382 more	77 years old	10k-50k Employees (India)
431	Reliance Retail	4.1	(13.7k Reviews)	Private	Navi Mumbai,Maharashtra + 570 more	16 years old	1 Lakh+ Employees (India)
432	WNS	3.7	(6.5k Reviews)	Private	Mumbai,Maharashtra + 21 more	26 years old	10k-50k Employees (India)
433	IndusInd Bank	3.8	(6.5k Reviews)	Public	Gurgaon/Gurugram,Haryana + 544 more	28 years old	10k-50k Employees (India)
434	Mahindra & Mahin...	3.9	(36.9k Reviews)	Public	Mumbai,Maharashtra + 397 more	77 years old	1 Lakh+ Employees (India)
435	TCS	3.9	(44.6k Reviews)	Public	Mumbai,Maharashtra + 258 more	54 years old	1 Lakh+ Employees (India)
436	Accenture	4.2	(30.2k Reviews)	Public	Dublin + 140 more	33 years old	1 Lakh+ Employees (India)
437	Cognizant	4.0	(27.2k Reviews)	Private	Teaneck. New Jersey. + 90 more	28 years old	1 Lakh+ Employees (India)
438	ICICI Bank	4.0	(32.8k Reviews)	Public	Mumbai,Maharashtra + 1025 more	28 years old	1 Lakh+ Employees (India)
439	HDFC Bank	4.0	(36.8k Reviews)	Public	Mumbai,Maharashtra + 1173 more	28 years old	1 Lakh+ Employees (India)
440	Infosys	3.9	(26k Reviews)	Public	Bengaluru/Bangalore,Karnataka + 121 more	41 years old	1 Lakh+ Employees (India)
