brand, product_name, price, shipping_cost
Gigabyte,GIGABYTE GeForce GTX 1660 Ti OC 6G Graphics Card- 2 x WINDFORCE Fans- 6GB 192-Bit GDDR6- GV-N166TOC-6GD Video Card,$435.97 (6 Offers)–,Free Shipping
Evga,EVGA GeForce GTX 1060 GAMING- ACX 2.0 (Single Fan)- 03G-P4-6160-KR- 3GB GDDR5- DX12 OSD Support (PXOC)- Only 6.8 Inches,$384.20 (3 Offers)–,$37.00 Shipping
Gigabyte,GIGABYTE GeForce RTX 2060 SUPER DirectX 12 GV-N206SWF2-8GD 8GB 256-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,$929.00 (4 Offers)–,Free Shipping
Msi,MSI GeForce GTX 1650 DirectX 12 GTX 1650 GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,$379.00 (3 Offers)–,Free Shipping
Gigabyte,GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card- PCIe 4.0- 8GB 256-Bit GDDR6- GV-R57XTGAMING OC-8GD Video Card,$708.90 (3 Offers)–,Free Shipping
Asus,ASUS Dual GeForce GTX 1060 DirectX 12 DUAL-GTX1060-O3G 3GB 192-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,$399.00 (2 Offers)–,Free Shipping
Evga,EVGA GeForce GT 1030 SC- 02G-P4-6333-KR- 2GB GDDR5- Low Profile,$99.19 (13 Offers)–,Free Shipping
Asus,ASUS Radeon RX Vega 64 8GB Overclocked 2048-Bit HBM2 PCI Express 3.0 HDCP Ready Video Card (STRIX-RXVEGA64-O8G-GAMING),$629.00 –,Free Shipping
Msi,MSI GeForce GTX 1070 Ti DirectX 12 GTX 1070 Ti Titanium 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card - (OEM Packaging and Manual),$588.88 (2 Offers)–,Free Shipping
Evga,EVGA GeForce RTX 2080 SUPER XC ULTRA GAMING Video Card- 08G-P4-3183-KR- 8GB GDDR6- RGB LED- Metal Backplate,$1,527.24 (2 Offers)–,Free Shipping
Msi,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 SUPER GAMING X TRIO 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,$1,099.99 (3 Offers)–,Free Shipping
